org_code,month_key,type1_performance,prev_month,mom_change,yoy_change,rolling_3m,national_rank
RAS,202305,0.43961757799396173,0.5258266309204647,-0.08620905292650294,-0.05857023090224911,0.4686242677297248,117
RWH,202305,0.42647212089630016,0.456231884057971,-0.029759763161670838,-0.03713578362336334,0.43294589863237415,118
RF4,202305,0.4043478260869565,0.3961015079073189,0.008246318179637613,0.08209699300607198,0.38160509994290126,119
RA9,202305,0.4027362792891964,0.43533230821800784,-0.032596028928811416,0.026913626015902303,0.4041413046151526,120
RCU,202410,0.9134377576257213,0.9278136531365314,-0.014375895510810088,0.02221402462201305,0.9318670364326659,1
RBS,202410,0.8204040061110168,0.8465796757611704,-0.02617566965015361,0.12493897920863406,0.8638406010438734,2
RQX,202410,0.8117833833127536,0.8295602152532937,-0.01777683194054014,-0.02227145074208048,0.8375480300756969,3
RWF,202410,0.8010198546164695,0.8105322128851541,-0.009512358268684573,-0.022037039738413866,0.81630800262446,4
RQ3,202410,0.7984743657974099,0.8420476919711223,-0.043573326173712346,0.04981820268341541,0.8669479245287421,5
RKE,202410,0.7367792377022477,0.722116140626755,0.014663097075492737,0.13646004025582736,0.7290500650412488,6
RNA,202410,0.7366913580246914,0.723401938364369,0.013289419660322488,0.15102223262953862,0.7372261035994274,7
RAE,202410,0.7296847362397253,0.7463169642857144,-0.016632228045989073,0.0880479966597928,0.7454293764197476,8
RRV,202410,0.7181052019761698,0.7234567901234568,-0.005351588147286979,-0.008443470590201896,0.7346118943925847,9
RVR,202410,0.7134627315430293,0.7177977191998504,-0.004334987656821054,-0.04527962379647199,0.7239043793166596,10
RTF,202410,0.7028315656319938,0.748489666136725,-0.04565810050473118,-0.04043648822357537,0.7581918305695261,11
RJ7,202410,0.701946864579972,0.6955873925501432,0.006359472029828783,0.049915103720560516,0.704816896987661,12
RL4,202410,0.6886949924127466,0.6863119382804422,0.0023830541323043297,0.004597997470765058,0.6921252984541413,13
RA2,202410,0.687948350071736,0.7462345960748517,-0.058286246003115605,0.13099602752076256,0.7703103045420875,14
RQM,202410,0.6840072238386676,0.7043911752227408,-0.020383951384073118,0.002266247193232429,0.7169675571972952,15
RTX,202410,0.6814140332083556,0.6738119541794261,0.007602079028929509,0.07854082896101011,0.689054968185253,16
RPA,202410,0.6729648024184841,0.6446687697160883,0.02829603270239578,0.023867681871876045,0.6635872508036007,17
RWY,202410,0.6725105189340814,0.6888485581770518,-0.016338039242970392,0.011566026248222117,0.6932185214313661,18
RCD,202410,0.6719921104536489,0.7021360759493671,-0.030143965495718184,0.025924694723311825,0.7066291306766087,19
RTK,202410,0.6714479550300445,0.6757438755125644,-0.0042959204825199215,0.10356296971061552,0.6805688352367488,20
RLT,202410,0.6608658133179922,0.6807330971815801,-0.019867283863587937,0.009983593441653782,0.6700627438426392,21
RAJ,202410,0.6584998236218452,0.6722371064969859,-0.013737282875140644,0.01395142722313969,0.6740899933830616,22
RBK,202410,0.6527035056446822,0.6596720559568856,-0.0069685503122034476,0.08803730420248623,0.688482271557607,23
RN7,202410,0.6491042273409231,0.6718378224041115,-0.022733595063188394,-0.03421731493003555,0.6755983751987066,24
RM1,202410,0.6459642147117296,0.6568417586036555,-0.010877543891925856,0.05815634455979979,0.6643738566504139,25
RHM,202410,0.6434344242618228,0.655035685963521,-0.011601261701698173,0.06762351151352008,0.6566904121239748,26
RXR,202410,0.6324027391075325,0.6500764525993884,-0.01767371349185587,0.01262674445691403,0.65083358630825,27
RHW,202410,0.6310362605258635,0.6617786595359268,-0.03074239901006337,0.03956837808671998,0.6676992787583552,28
RFF,202410,0.6264259607930003,0.6401532745006967,-0.01372731370769642,-0.011579819553820592,0.6810858935077929,29
RFR,202410,0.6259889454860734,0.6488531283775669,-0.0228641828914935,0.042552909005915684,0.653492976744068,30
RNS,202410,0.6228498827208757,0.6494031964394092,-0.026553313718533533,0.11802394193354249,0.6444384683800507,31
RGR,202410,0.6168988878946695,0.6464900662251656,-0.02959117833049607,0.08640305638962342,0.6418277363929714,32
RBN,202410,0.6154546489131671,0.6455033133480593,-0.03004866443489218,0.03929138360704476,0.6407706786525054,33
RTP,202410,0.6140414696253182,0.6368937700456798,-0.02285230042036157,-0.032681616381373346,0.664708765527189,34
RP5,202410,0.6135258582584353,0.6101643335362142,0.0033615247222210654,0.07410299981717194,0.6241513483873612,35
RA7,202410,0.6132424767606743,0.6237045810244913,-0.010462104263816996,0.011303905741084197,0.6342672237541161,36
RJC,202410,0.6131880733944954,0.7416481069042316,-0.12846003350973612,-0.09176463939793855,0.6979008590199536,37
RXN,202410,0.6130427549492596,0.6196690549300581,-0.006626299980798445,0.005955304961507535,0.6239189178998474,38
RRK,202410,0.6119212074699412,0.6035555829430614,0.008365624526879722,0.09326571520950988,0.6112878599566577,39
RTE,202410,0.6073007163542143,0.6109496124031008,-0.0036488960488864075,0.036945260611939146,0.615187820023482,40
RCX,202410,0.6070528967254408,0.5897083524202169,0.01734454430522392,0.03532765710882735,0.6167183047680096,41
RNQ,202410,0.6045468447344275,0.6218910806174958,-0.017344235883068215,0.11434443302038788,0.6235213544940196,42
RD8,202410,0.6030578227382457,0.5930007265681763,0.010057096170069446,-0.028348541118931925,0.6158487531754481,43
